Altium Designer Pick and Place Locations
H:\Projects\PCB Design\RGB Clock\PixelClockPCB\Controller\Outputs\PixelClockController_v2_0_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       28/12/23
Time:       21:16
Revision:   62b9c1de4cf436d36ccc12f12493964c695e4c9a
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P8","Header 10X2H","BottomLayer","HDR2X10H","-95.8000","22.5000","270","Header, 10-Pin, Dual row, Right Angle"
"R36","Resistor","TopLayer","RES_1608-0603","-48.1200","14.0500","90","RES SMD 100 OHM 1% 1/10W 0603"
"R27","Resistor","TopLayer","RES_1608-0603","-53.2000","31.9000","270","RES SMD 100 OHM 1% 1/10W 0603"
"R26","Resistor","TopLayer","RES_1608-0603","-58.2800","31.9000","270","RES SMD 100 OHM 1% 1/10W 0603"
"R25","Resistor","BottomLayer","RES_1608-0603","-87.3000","8.0300","180","RES SMD 10K OHM 1% 1/10W 0603"
"R20","Resistor","TopLayer","RES_1608-0603","-35.4200","14.0500","90","RES SMD 100 OHM 1% 1/10W 0603"
"R17","Resistor","TopLayer","RES_1608-0603","-45.5800","14.0500","90","RES SMD 100 OHM 1% 1/10W 0603"
"R16","Resistor","TopLayer","RES_1608-0603","-37.9600","14.0500","90","RES SMD 100 OHM 1% 1/10W 0603"
"R15","Resistor","BottomLayer","RES_1608-0603","-87.3000","9.7300","180","RES SMD 1K OHM 1% 1/10W 0603"
"R5","Resistor","TopLayer","RES_1608-0603","-87.2300","12.9000","0","RES SMD 330 OHM 1% 1/10W 0603"
"Q1","AO3400A","BottomLayer","SOT23-3_New","-87.3000","5.1300","270","N-CH MOSFET 30V 5.7A SOT23"
"C5","Capacitor","BottomLayer","CAPC1608X90N","-10.7500","6.2500","0","CAP CER 0.1UF 50V X7R 0603"
"R8","Resistor","BottomLayer","RES_1608-0603","-10.7500","2.8000","0","RES SMD 1K OHM 1% 1/10W 0603"
"R32","Resistor","BottomLayer","RES_1608-0603","-10.7500","4.5250","180","RES SMD 10K OHM 1% 1/10W 0603"
"C4","Capacitor","BottomLayer","CAPC1608X90N","-22.7500","6.2500","0","CAP CER 0.1UF 50V X7R 0603"
"R4","Resistor","BottomLayer","RES_1608-0603","-22.7500","2.8000","0","RES SMD 1K OHM 1% 1/10W 0603"
"R31","Resistor","BottomLayer","RES_1608-0603","-22.7500","4.5250","180","RES SMD 10K OHM 1% 1/10W 0603"
"C3","Capacitor","BottomLayer","CAPC1608X90N","-34.7500","6.2500","0","CAP CER 0.1UF 50V X7R 0603"
"R3","Resistor","BottomLayer","RES_1608-0603","-34.7500","2.8000","0","RES SMD 1K OHM 1% 1/10W 0603"
"R30","Resistor","BottomLayer","RES_1608-0603","-34.7500","4.5250","180","RES SMD 10K OHM 1% 1/10W 0603"
"C2","Capacitor","BottomLayer","CAPC1608X90N","-46.7500","6.2500","0","CAP CER 0.1UF 50V X7R 0603"
"R2","Resistor","BottomLayer","RES_1608-0603","-46.7500","2.8000","0","RES SMD 1K OHM 1% 1/10W 0603"
"R24","Resistor","BottomLayer","RES_1608-0603","-46.7500","4.5250","180","RES SMD 10K OHM 1% 1/10W 0603"
"S3","SW_THT_PB_4.3mm","TopLayer","TACT-SWITCH-TS1143","-34.7500","4.0000","0","6 X 6 MM, 12 MM ACTUATOR HEIGHT"
"R23","Resistor","BottomLayer","RES_1608-0603","-58.7500","4.5250","180","RES SMD 10K OHM 1% 1/10W 0603"
"U7","74LVC1G17SE-7","TopLayer","SOT353","-28.4750","25.3050","0","IC BUF NON-INVERT 5.5V SOT353"
"C16","Capacitor","TopLayer","CAPC1608X90N","-25.4750","25.3050","90","CAP CER 0.1UF 50V X7R 0603"
"R35","Res-0603-0R","TopLayer","RES_1608-0603","-31.5750","25.3050","270","RES 0 OHM JUMPER 1/10W 0603"
"R34","Resistor","TopLayer","RES_1608-0603","-23.9000","25.3050","90","RES SMD 100 OHM 1% 1/10W 0603"
"R33","Resistor","TopLayer","RES_1608-0603","-33.1000","25.3050","90","RES SMD 100 OHM 1% 1/10W 0603"
"TP1","TESTPOINT","TopLayer","TP-R60","-67.2291","2.4000","0","SMD test pin"
"U8","SPH0645","BottomLayer","SPH0645LM4H-B","-78.4000","5.0370","180",""
"R29","Resistor","BottomLayer","RES_1608-0603","-78.4000","10.9000","0","RES SMD 10K OHM 1% 1/10W 0603"
"R28","Resistor","BottomLayer","RES_1608-0603","-78.4000","9.3000","180","RES SMD 100 OHM 1% 1/10W 0603"
"C18","Capacitor","BottomLayer","CAPC1608X90N","-78.4000","7.7000","180","CAP CER 0.1UF 50V X7R 0603"
"U4","DS3231","TopLayer","SOIC127P1030X265-16M","-8.4500","21.2550","0",""
"C10","Capacitor","TopLayer","CAPC1608X90N","-8.4500","28.6000","180","CAP CER 0.1UF 50V X7R 0603"
"BT1","Battery - CR16XX Retainer","BottomLayer","BATTERY_-_COIN_CR16XX_TH_CLIP_(BK-869)","-8.4000","22.5998","180",""
"U6","ESP32 DevKit C V4","BottomLayer","ESP32-WROOM-32_DEVKIT_C","-43.0400","22.7000","90",""
"R21","Resistor","TopLayer","RES_1608-0603","-33.1000","28.8050","90","RES SMD 100 OHM 1% 1/10W 0603"
"R22","Resistor","TopLayer","RES_1608-0603","-23.9000","28.8050","90","RES SMD 100 OHM 1% 1/10W 0603"
"P9","Header 2","BottomLayer","HDR1X2-HEADER","-90.7200","33.9300","0","Header, 2-Pin"
"P4","BTN2","BottomLayer","HDR1X2-HEADER","-52.7500","4.0000","90","Header, 2-Pin"
"P12","3V_AUX","BottomLayer","HDR1X2-HEADER","-33.9600","41.0200","270","Header, 2-Pin"
"P11","5V_AUX","BottomLayer","HDR1X2-HEADER","-39.0400","41.0200","270","Header, 2-Pin"
"R1","Resistor","BottomLayer","RES_1608-0603","-58.7500","2.8000","0","RES SMD 1K OHM 1% 1/10W 0603"
"C1","Capacitor","BottomLayer","CAPC1608X90N","-58.7500","6.2500","0","CAP CER 0.1UF 50V X7R 0603"
"P1","BTN1","BottomLayer","HDR1X2-HEADER","-64.7500","4.0000","90","Header, 2-Pin"
"P13","BTN3","BottomLayer","HDR1X2-HEADER","-40.7500","4.0000","90","Header, 2-Pin"
"P16","BTN4","BottomLayer","HDR1X2-HEADER","-28.7500","4.0000","90","Header, 2-Pin"
"P17","BTN5","BottomLayer","HDR1X2-HEADER","-16.7500","4.0000","90","Header, 2-Pin"
"P2","I2C","BottomLayer","HDR2X3-Header","-69.5200","41.0200","0","Header, 3-Pin, Dual row"
"R10","Resistor","BottomLayer","RES_1608-0603","-83.0100","26.0600","0","RES SMD 1K OHM 1% 1/10W 0603"
"LD2","LEDG  0603","BottomLayer","LED_1608-0603","-86.5100","26.0600","180","LED GREEN CLEAR CHIP SMD 0603"
"LD1","LEDG  0603","BottomLayer","LED_1608-0603","-86.5100","27.8100","180","LED GREEN CLEAR CHIP SMD 0603"
"R9","Resistor","BottomLayer","RES_1608-0603","-83.0100","27.8100","0","RES SMD 1K OHM 1% 1/10W 0603"
"R19","Resistor","TopLayer","RES_1608-0603","-73.9675","16.4700","180","RES SMD 22.1K OHM 1% 1/10W 0603"
"R18","Resistor","BottomLayer","RES_1608-0603","-83.0100","29.5600","0","RES SMD 10K OHM 1% 1/10W 0603"
"LD3","LEDG  0603","BottomLayer","LED_1608-0603","-86.5100","29.5600","180","LED GREEN CLEAR CHIP SMD 0603"
"C11","Capacitor","TopLayer","CAPC1608X90N","-73.9675","23.1250","0","CAP CER 0.1UF 50V X7R 0603"
"C12","Capacitor","TopLayer","CAPC3225X220N","-85.6300","22.2550","270","CAP CER 10UF 35V X7R 1210"
"C14","Capacitor","TopLayer","CAPC3216X100N","-79.2300","27.6150","90","CAP CER 22UF 16V X5R 1206"
"C13","Capacitor","TopLayer","CAPC3216X100N","-76.8300","27.6150","90","CAP CER 22UF 16V X5R 1206"
"C15","Capacitor","TopLayer","CAPC1608X90N","-73.9675","21.4550","0","CAP CER 2700PF 50V X7R 0603"
"L1","Inductor SMD 3.6uH 4.9A","TopLayer","INDUCTOR_NR8040","-70.4800","28.4200","90","FIXED IND 3.6UH 4.9A 19.5 MOHM"
"R12","Resistor","TopLayer","RES_1608-0603","-73.9675","18.1150","0","RES SMD 115K OHM 1% 1/10W 0603"
