Altium Designer Pick and Place Locations
H:\Projects\PCB Design\RGB Clock\PixelClockPCB\Panel\Outputs\PixelClockPanel_v2_0_PickPlace.csv

========================================================================================================================
File Design Information:

Date:       05/01/24
Time:       13:56
Revision:   ea4c3c590c1c6fc26c747fb12cb521e10aac614d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P2","SIG_OUT","BottomLayer","JST_S6B-XH-SM4-TB","154.9000","29.0000","270","CONN HEADER SMD R/A 6POS 2.5MM"
"C69","Capacitor","TopLayer","CAPC1608X90N","5.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD69","SK9822","TopLayer","LED_SK9822_APA102","5.0001","5.0000","180","SK9822 5050 RGB LED"
"LD70","SK9822","TopLayer","LED_SK9822_APA102","17.0001","5.0000","180","SK9822 5050 RGB LED"
"C70","Capacitor","TopLayer","CAPC1608X90N","17.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD71","SK9822","TopLayer","LED_SK9822_APA102","29.0001","5.0000","180","SK9822 5050 RGB LED"
"C71","Capacitor","TopLayer","CAPC1608X90N","29.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD72","SK9822","TopLayer","LED_SK9822_APA102","41.0001","5.0000","180","SK9822 5050 RGB LED"
"C72","Capacitor","TopLayer","CAPC1608X90N","41.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD73","SK9822","TopLayer","LED_SK9822_APA102","53.0001","5.0000","180","SK9822 5050 RGB LED"
"C73","Capacitor","TopLayer","CAPC1608X90N","53.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD74","SK9822","TopLayer","LED_SK9822_APA102","65.0001","5.0000","180","SK9822 5050 RGB LED"
"C74","Capacitor","TopLayer","CAPC1608X90N","65.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD75","SK9822","TopLayer","LED_SK9822_APA102","77.0001","5.0000","180","SK9822 5050 RGB LED"
"C75","Capacitor","TopLayer","CAPC1608X90N","77.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD76","SK9822","TopLayer","LED_SK9822_APA102","89.0001","5.0000","180","SK9822 5050 RGB LED"
"C76","Capacitor","TopLayer","CAPC1608X90N","89.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD77","SK9822","TopLayer","LED_SK9822_APA102","101.0001","5.0000","180","SK9822 5050 RGB LED"
"C77","Capacitor","TopLayer","CAPC1608X90N","101.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD78","SK9822","TopLayer","LED_SK9822_APA102","113.0001","5.0000","180","SK9822 5050 RGB LED"
"C78","Capacitor","TopLayer","CAPC1608X90N","113.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD79","SK9822","TopLayer","LED_SK9822_APA102","125.0001","5.0000","180","SK9822 5050 RGB LED"
"C79","Capacitor","TopLayer","CAPC1608X90N","125.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD80","SK9822","TopLayer","LED_SK9822_APA102","137.0001","5.0000","180","SK9822 5050 RGB LED"
"C80","Capacitor","TopLayer","CAPC1608X90N","137.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD81","SK9822","TopLayer","LED_SK9822_APA102","149.0001","5.0000","180","SK9822 5050 RGB LED"
"C81","Capacitor","TopLayer","CAPC1608X90N","149.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD82","SK9822","TopLayer","LED_SK9822_APA102","161.0001","5.0000","180","SK9822 5050 RGB LED"
"C82","Capacitor","TopLayer","CAPC1608X90N","161.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD83","SK9822","TopLayer","LED_SK9822_APA102","173.0001","5.0000","180","SK9822 5050 RGB LED"
"C83","Capacitor","TopLayer","CAPC1608X90N","173.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD84","SK9822","TopLayer","LED_SK9822_APA102","185.0001","5.0000","180","SK9822 5050 RGB LED"
"C84","Capacitor","TopLayer","CAPC1608X90N","185.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD85","SK9822","TopLayer","LED_SK9822_APA102","197.0001","5.0000","180","SK9822 5050 RGB LED"
"C85","Capacitor","TopLayer","CAPC1608X90N","197.0000","1.0000","0","CAP CER 0.1UF 50V X7R 0603"
"C52","Capacitor","TopLayer","CAPC1608X90N","5.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD52","SK9822","TopLayer","LED_SK9822_APA102","5.0001","17.0000","180","SK9822 5050 RGB LED"
"LD53","SK9822","TopLayer","LED_SK9822_APA102","17.0001","17.0000","180","SK9822 5050 RGB LED"
"C53","Capacitor","TopLayer","CAPC1608X90N","17.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD54","SK9822","TopLayer","LED_SK9822_APA102","29.0001","17.0000","180","SK9822 5050 RGB LED"
"C54","Capacitor","TopLayer","CAPC1608X90N","29.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD55","SK9822","TopLayer","LED_SK9822_APA102","41.0001","17.0000","180","SK9822 5050 RGB LED"
"C55","Capacitor","TopLayer","CAPC1608X90N","41.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD56","SK9822","TopLayer","LED_SK9822_APA102","53.0001","17.0000","180","SK9822 5050 RGB LED"
"C56","Capacitor","TopLayer","CAPC1608X90N","53.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD57","SK9822","TopLayer","LED_SK9822_APA102","65.0001","17.0000","180","SK9822 5050 RGB LED"
"C57","Capacitor","TopLayer","CAPC1608X90N","65.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD58","SK9822","TopLayer","LED_SK9822_APA102","77.0001","17.0000","180","SK9822 5050 RGB LED"
"C58","Capacitor","TopLayer","CAPC1608X90N","77.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD59","SK9822","TopLayer","LED_SK9822_APA102","89.0001","17.0000","180","SK9822 5050 RGB LED"
"C59","Capacitor","TopLayer","CAPC1608X90N","89.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD60","SK9822","TopLayer","LED_SK9822_APA102","101.0001","17.0000","180","SK9822 5050 RGB LED"
"C60","Capacitor","TopLayer","CAPC1608X90N","101.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD61","SK9822","TopLayer","LED_SK9822_APA102","113.0001","17.0000","180","SK9822 5050 RGB LED"
"C61","Capacitor","TopLayer","CAPC1608X90N","113.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD62","SK9822","TopLayer","LED_SK9822_APA102","125.0001","17.0000","180","SK9822 5050 RGB LED"
"C62","Capacitor","TopLayer","CAPC1608X90N","125.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD63","SK9822","TopLayer","LED_SK9822_APA102","137.0001","17.0000","180","SK9822 5050 RGB LED"
"C63","Capacitor","TopLayer","CAPC1608X90N","137.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD64","SK9822","TopLayer","LED_SK9822_APA102","149.0001","17.0000","180","SK9822 5050 RGB LED"
"C64","Capacitor","TopLayer","CAPC1608X90N","149.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD65","SK9822","TopLayer","LED_SK9822_APA102","161.0001","17.0000","180","SK9822 5050 RGB LED"
"C65","Capacitor","TopLayer","CAPC1608X90N","161.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD66","SK9822","TopLayer","LED_SK9822_APA102","173.0001","17.0000","180","SK9822 5050 RGB LED"
"C66","Capacitor","TopLayer","CAPC1608X90N","173.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD67","SK9822","TopLayer","LED_SK9822_APA102","185.0001","17.0000","180","SK9822 5050 RGB LED"
"C67","Capacitor","TopLayer","CAPC1608X90N","185.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
"LD68","SK9822","TopLayer","LED_SK9822_APA102","197.0001","17.0000","180","SK9822 5050 RGB LED"
"C68","Capacitor","TopLayer","CAPC1608X90N","197.0000","13.0000","0","CAP CER 0.1UF 50V X7R 0603"
